"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"IC3","WSON-10_4x4","40648.09mil","43171.05mil","40648.09mil","43171.05mil","40726.83mil","43108.058mil","T","270.00","TPS54561-Q1"
"IC2","SON-15","42663.1mil","41870.08mil","42663.1mil","41870.08mil","42554.832mil","41833.663mil","T","180.00","TPD8S009"
"IC1","VQFN-24","41641.48mil","42664.11mil","41641.48mil","42664.11mil","41592.267mil","42589.307mil","T","180.00","TCA9548ARGER"
"FAN","molex_2223-2021","43802.75mil","41955.28mil","43802.75mil","41955.28mil","43752.75mil","41955.28mil","T","0.00","MX-22-23-2021"
"F1","Fuse-1206","41035mil","42562.992mil","41035mil","42500mil","41035mil","42500mil","T","90.00","Value"
"D15","SOD-323","42978.82mil","42425.47mil","42978.82mil","42425.47mil","42937.285mil","42425.47mil","T","270.00","1N4148WS"
"D14","SOD-323","43648.82mil","42150.47mil","43648.82mil","42150.47mil","43690.355mil","42150.47mil","T","90.00","1N4148WS"
"D13","SOD-323","42538.82mil","42650.47mil","42538.82mil","42650.47mil","42580.355mil","42650.47mil","T","90.00","1N4148WS"
"D12","SOT-23s","42333.82mil","41395.47mil","42333.82mil","41395.47mil","42371.222mil","41432.872mil","T","270.00","TPD2E009DBZR"
"D11","SOT-23s","41268.82mil","41880.47mil","41268.82mil","41880.47mil","41231.418mil","41843.068mil","T","90.00","TPD2E009DBZR"
"D10","SOT-23s","41798.68mil","41358.47mil","41798.68mil","41358.47mil","41761.278mil","41395.872mil","T","0.00","TPD2E009DBZR"
"D9","SOT-23s","40983.83mil","42060.47mil","40983.83mil","42060.47mil","41021.232mil","42023.068mil","T","180.00","TPD2E009DBZR"
"D8","SOT-23s","41013.83mil","41825.47mil","41013.83mil","41825.47mil","41051.232mil","41788.068mil","T","180.00","TPD2E009DBZR"
